Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_OrangeWebUsingKeywords,Chrome 71.0.3578.98,,2019-01-13 16:46:39,2019-01-13 16:47:37,58.331s,FAILED
,,,,,,
Test Cases/Orange_Website_Using_Function/TC_RecruitmentComponent,Chrome 71.0.3578.98,,2019-01-13 16:46:39,2019-01-13 16:47:15,35.497s,FAILED
pk_Functions.CS_Login.LoginFun,Chrome 71.0.3578.98,,2019-01-13 16:46:40,2019-01-13 16:47:06,26.413s,PASSED
click,Chrome 71.0.3578.98,,2019-01-13 16:47:06,2019-01-13 16:47:08,1.624s,PASSED
pk_Functions.CS_SpecificData.DataFun,Chrome 71.0.3578.98,,2019-01-13 16:47:08,2019-01-13 16:47:10,1.848s,FAILED
delay,Chrome 71.0.3578.98,,2019-01-13 16:47:10,2019-01-13 16:47:15,5.047s,PASSED
,,,,,,
Test Cases/Orange_Website_Using_Function/TC_RecruitmentComponent,Chrome 71.0.3578.98,,2019-01-13 16:47:15,2019-01-13 16:47:37,22.241s,FAILED
pk_Functions.CS_Login.LoginFun,Chrome 71.0.3578.98,,2019-01-13 16:47:15,2019-01-13 16:47:29,14.608s,PASSED
click,Chrome 71.0.3578.98,,2019-01-13 16:47:29,2019-01-13 16:47:31,1.836s,PASSED
pk_Functions.CS_SpecificData.DataFun,Chrome 71.0.3578.98,,2019-01-13 16:47:31,2019-01-13 16:47:32,0.763s,FAILED
delay,Chrome 71.0.3578.98,,2019-01-13 16:47:32,2019-01-13 16:47:37,5.005s,PASSED
