Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_OrangeWebUsingKeywords,Chrome 71.0.3578.98,,2019-01-03 10:56:07,2019-01-03 10:56:14,7.274s,ERROR
,,,,,,
Test Cases/Orange_Website_Using_Function/Tc_TestOrangeWebUsingKeywords,Chrome 71.0.3578.98,,2019-01-03 10:56:07,2019-01-03 10:56:14,6.851s,ERROR
openBrowser,Chrome 71.0.3578.98,,2019-01-03 10:56:08,2019-01-03 10:56:14,6.415s,PASSED
pk_Functions.CS_SpecificData.DataFun,Chrome 71.0.3578.98,,2019-01-03 10:56:14,2019-01-03 10:56:14,0.051s,ERROR
