Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_OrangeWebUsingKeywords,Chrome 71.0.3578.98,,2019-01-15 16:22:35,2019-01-15 16:23:21,46.363s,PASSED
,,,,,,
Test Cases/Orange_Website_Using_Function/TC_RecruitmentComponent,Chrome 71.0.3578.98,,2019-01-15 16:22:35,2019-01-15 16:22:59,23.880s,PASSED
pk_Functions.CS_Login.LoginFun,Chrome 71.0.3578.98,,2019-01-15 16:22:36,2019-01-15 16:22:47,11.299s,PASSED
click,Chrome 71.0.3578.98,,2019-01-15 16:22:47,2019-01-15 16:22:48,1.139s,PASSED
pk_Functions.CS_SpecificPageData.DataFun,Chrome 71.0.3578.98,,2019-01-15 16:22:48,2019-01-15 16:22:54,5.916s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-15 16:22:54,2019-01-15 16:22:59,5.005s,PASSED
,,,,,,
Test Cases/Orange_Website_Using_Function/TC_RecruitmentComponent,Chrome 71.0.3578.98,,2019-01-15 16:22:59,2019-01-15 16:23:21,21.987s,PASSED
pk_Functions.CS_Login.LoginFun,Chrome 71.0.3578.98,,2019-01-15 16:22:59,2019-01-15 16:23:08,8.815s,PASSED
click,Chrome 71.0.3578.98,,2019-01-15 16:23:08,2019-01-15 16:23:11,3.021s,PASSED
pk_Functions.CS_SpecificPageData.DataFun,Chrome 71.0.3578.98,,2019-01-15 16:23:11,2019-01-15 16:23:16,5.129s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-15 16:23:16,2019-01-15 16:23:21,5.005s,PASSED
