Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Orange_JobTitles,Chrome 71.0.3578.98,,2019-01-06 10:06:54,2019-01-06 10:07:10,16.128s,ERROR
,,,,,,
Test Cases/Orange_Website/Login Screen,Chrome 71.0.3578.98,,2019-01-06 10:06:55,2019-01-06 10:07:05,10.239s,PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com/index.php/auth/login"")",Chrome 71.0.3578.98,,2019-01-06 10:06:55,2019-01-06 10:07:03,7.526s,PASSED
"setText(findTestObject(""Orange/Login/Username""), ""Admin"")",Chrome 71.0.3578.98,,2019-01-06 10:07:03,2019-01-06 10:07:03,0.287s,PASSED
"setText(findTestObject(""Orange/Login/Password""), ""admin123"")",Chrome 71.0.3578.98,,2019-01-06 10:07:03,2019-01-06 10:07:03,0.222s,PASSED
"click(findTestObject(""Orange/Login/Login""))",Chrome 71.0.3578.98,,2019-01-06 10:07:03,2019-01-06 10:07:05,1.700s,PASSED
,,,,,,
Test Cases/Orange_Website/JobTitles_Screen2,Chrome 71.0.3578.98,,2019-01-06 10:07:05,2019-01-06 10:07:10,4.721s,ERROR
"click(findTestObject(""Orange/Navigation/MNULST_Admin""))",Chrome 71.0.3578.98,,2019-01-06 10:07:05,2019-01-06 10:07:07,1.846s,PASSED
"click(findTestObject(""Orange/Navigation/MNUITM_Job""))",Chrome 71.0.3578.98,,2019-01-06 10:07:07,2019-01-06 10:07:07,0.103s,PASSED
"click(findTestObject(""Orange/Navigation/MNUITM_JobTitles""))",Chrome 71.0.3578.98,,2019-01-06 10:07:07,2019-01-06 10:07:08,0.872s,PASSED
driver = getWebDriver(),Chrome 71.0.3578.98,,2019-01-06 10:07:08,2019-01-06 10:07:08,0.017s,PASSED
"ExpectedValue = ""Sales Executive""",Chrome 71.0.3578.98,Expected value from Table,2019-01-06 10:07:08,2019-01-06 10:07:08,0.001s,PASSED
ndriver = getWebDriver(),Chrome 71.0.3578.98,,2019-01-06 10:07:08,2019-01-06 10:07:08,0.005s,PASSED
"Table = ndriver.findElement(By.id(""resultTable""))",Chrome 71.0.3578.98,To locate table,2019-01-06 10:07:08,2019-01-06 10:07:08,0.080s,PASSED
"Rows = Table.findElements(By.tagName(""tr""))",Chrome 71.0.3578.98,To locate rows of table it will Capture all the rows available in the table ,2019-01-06 10:07:08,2019-01-06 10:07:08,0.195s,PASSED
"println(""No. of rows: "" + Rows.size())",Chrome 71.0.3578.98,,2019-01-06 10:07:08,2019-01-06 10:07:08,0.007s,PASSED
"""Find a matching text in a table and performing action""",Chrome 71.0.3578.98,,2019-01-06 10:07:08,2019-01-06 10:07:08,0.002s,PASSED
"for ([i = 0, i < Rows.size(), (i++)])",Chrome 71.0.3578.98,Loop will execute for all the rows of the table,2019-01-06 10:07:08,2019-01-06 10:07:10,1.153s,ERROR
