Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_OrangeWebUsingKeywords,Chrome 71.0.3578.98,,2019-01-13 15:14:47,2019-01-13 15:15:37,50.444s,FAILED
,,,,,,
Test Cases/Orange_Website_Using_Function/TC_RecruitmentComponent,Chrome 71.0.3578.98,,2019-01-13 15:14:48,2019-01-13 15:15:21,33.464s,FAILED
pk_Functions.CS_Login.LoginFun,Chrome 71.0.3578.98,,2019-01-13 15:14:48,2019-01-13 15:15:09,21.111s,PASSED
click,Chrome 71.0.3578.98,,2019-01-13 15:15:09,2019-01-13 15:15:14,5.003s,PASSED
pk_Functions.CS_SpecificData.DataFun,Chrome 71.0.3578.98,,2019-01-13 15:15:14,2019-01-13 15:15:16,1.759s,FAILED
delay,Chrome 71.0.3578.98,,2019-01-13 15:15:16,2019-01-13 15:15:21,5.032s,PASSED
,,,,,,
Test Cases/Orange_Website_Using_Function/TC_RecruitmentComponent,Chrome 71.0.3578.98,,2019-01-13 15:15:21,2019-01-13 15:15:37,16.391s,FAILED
pk_Functions.CS_Login.LoginFun,Chrome 71.0.3578.98,,2019-01-13 15:15:21,2019-01-13 15:15:30,8.839s,PASSED
click,Chrome 71.0.3578.98,,2019-01-13 15:15:30,2019-01-13 15:15:32,1.767s,PASSED
pk_Functions.CS_SpecificData.DataFun,Chrome 71.0.3578.98,,2019-01-13 15:15:32,2019-01-13 15:15:32,0.761s,FAILED
delay,Chrome 71.0.3578.98,,2019-01-13 15:15:32,2019-01-13 15:15:37,5.001s,PASSED
