Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Locations,Chrome 71.0.3578.98,,2019-01-03 10:03:54,2019-01-03 10:04:43,49.177s,ERROR
,,,,,,
Test Cases/Orange_Website/Login Screen,Chrome 71.0.3578.98,,2019-01-03 10:03:54,2019-01-03 10:04:15,20.910s,PASSED
openBrowser,Chrome 71.0.3578.98,,2019-01-03 10:03:55,2019-01-03 10:04:13,18.382s,PASSED
setText,Chrome 71.0.3578.98,,2019-01-03 10:04:13,2019-01-03 10:04:13,0.311s,PASSED
setText,Chrome 71.0.3578.98,,2019-01-03 10:04:13,2019-01-03 10:04:14,0.141s,PASSED
click,Chrome 71.0.3578.98,,2019-01-03 10:04:14,2019-01-03 10:04:15,1.723s,PASSED
,,,,,,
Test Cases/Orange_Website/TC_Locations,Chrome 71.0.3578.98,,2019-01-03 10:04:15,2019-01-03 10:04:43,27.793s,ERROR
openBrowser,Chrome 71.0.3578.98,,2019-01-03 10:04:16,2019-01-03 10:04:30,14.108s,PASSED
setText,Chrome 71.0.3578.98,,2019-01-03 10:04:30,2019-01-03 10:04:30,0.150s,PASSED
setText,Chrome 71.0.3578.98,,2019-01-03 10:04:30,2019-01-03 10:04:30,0.141s,PASSED
click,Chrome 71.0.3578.98,,2019-01-03 10:04:30,2019-01-03 10:04:37,7.214s,PASSED
navigateToUrl,Chrome 71.0.3578.98,,2019-01-03 10:04:37,2019-01-03 10:04:40,2.360s,PASSED
click,Chrome 71.0.3578.98,,2019-01-03 10:04:40,2019-01-03 10:04:43,3.430s,PASSED
click,Chrome 71.0.3578.98,,2019-01-03 10:04:43,2019-01-03 10:04:43,0.101s,PASSED
pk_Functions.CS_CheckMatching.CheckMatching,Chrome 71.0.3578.98,,2019-01-03 10:04:43,2019-01-03 10:04:43,0.051s,ERROR
