Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_OrangeWebUsingKeywords,Chrome 71.0.3578.98,,2019-01-14 10:55:34,2019-01-14 10:56:16,41.857s,FAILED
,,,,,,
Test Cases/Orange_Website_Using_Function/TC_RecruitmentComponent,Chrome 71.0.3578.98,,2019-01-14 10:55:34,2019-01-14 10:55:57,22.337s,PASSED
pk_Functions.CS_Login.LoginFun,Chrome 71.0.3578.98,,2019-01-14 10:55:35,2019-01-14 10:55:48,12.755s,PASSED
click,Chrome 71.0.3578.98,,2019-01-14 10:55:48,2019-01-14 10:55:50,2.302s,PASSED
pk_Functions.CS_SpecificData.DataFun,Chrome 71.0.3578.98,,2019-01-14 10:55:50,2019-01-14 10:55:52,1.750s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-14 10:55:52,2019-01-14 10:55:57,5.041s,PASSED
,,,,,,
Test Cases/Orange_Website_Using_Function/TC_RecruitmentComponent,Chrome 71.0.3578.98,,2019-01-14 10:55:57,2019-01-14 10:56:16,18.893s,FAILED
pk_Functions.CS_Login.LoginFun,Chrome 71.0.3578.98,,2019-01-14 10:55:57,2019-01-14 10:56:08,11.042s,PASSED
click,Chrome 71.0.3578.98,,2019-01-14 10:56:08,2019-01-14 10:56:10,2.185s,PASSED
pk_Functions.CS_SpecificData.DataFun,Chrome 71.0.3578.98,,2019-01-14 10:56:10,2019-01-14 10:56:11,0.641s,FAILED
delay,Chrome 71.0.3578.98,,2019-01-14 10:56:11,2019-01-14 10:56:16,5.003s,PASSED
