Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Orange_Locations,Chrome 71.0.3578.98,,2019-01-17 11:56:38,2019-01-17 11:56:54,16.084s,ERROR
,,,,,,
Test Cases/Orange_Website/TC_Locations_Multi_Scenarios,Chrome 71.0.3578.98,,2019-01-17 11:56:39,2019-01-17 11:56:54,15.639s,ERROR
openBrowser,Chrome 71.0.3578.98,,2019-01-17 11:56:39,2019-01-17 11:56:47,7.877s,PASSED
setText,Chrome 71.0.3578.98,,2019-01-17 11:56:47,2019-01-17 11:56:47,0.225s,PASSED
setText,Chrome 71.0.3578.98,,2019-01-17 11:56:47,2019-01-17 11:56:48,0.138s,PASSED
click,Chrome 71.0.3578.98,,2019-01-17 11:56:48,2019-01-17 11:56:49,1.605s,PASSED
navigateToUrl,Chrome 71.0.3578.98,,2019-01-17 11:56:49,2019-01-17 11:56:50,0.704s,PASSED
click,Chrome 71.0.3578.98,,2019-01-17 11:56:50,2019-01-17 11:56:51,0.626s,PASSED
selectOptionByValue,Chrome 71.0.3578.98,,2019-01-17 11:56:51,2019-01-17 11:56:51,0.170s,PASSED
pk_Functions.CS_AllPageData.AllPageDataFun,Chrome 71.0.3578.98,Load data,2019-01-17 11:56:51,2019-01-17 11:56:53,2.375s,PASSED
click,Chrome 71.0.3578.98,save data,2019-01-17 11:56:53,2019-01-17 11:56:54,0.936s,PASSED
pk_Functions.CS_ValidateSearchParameters.ValidateSearchParameters,Chrome 71.0.3578.98,,2019-01-17 11:56:54,2019-01-17 11:56:54,0.284s,FAILED
