Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_OrangeWebUsingKeywords,Chrome 71.0.3578.98,,2019-01-08 14:06:21,2019-01-08 14:07:07,45.599s,FAILED
,,,,,,
Test Cases/Orange_Website_Using_Function/TC_AllPageComponent,Chrome 71.0.3578.98,,2019-01-08 14:06:21,2019-01-08 14:06:55,33.885s,FAILED
pk_Functions.CS_Login.LoginFun,Chrome 71.0.3578.98,,2019-01-08 14:06:22,2019-01-08 14:06:47,25.049s,PASSED
click,Chrome 71.0.3578.98,,2019-01-08 14:06:47,2019-01-08 14:06:54,7.047s,PASSED
pk_Functions.CS_TextLov.TextLovFun,Chrome 71.0.3578.98,,2019-01-08 14:06:54,2019-01-08 14:06:55,1.364s,FAILED
,,,,,,
Test Cases/Orange_Website_Using_Function/TC_AllPageComponent,Chrome 71.0.3578.98,,2019-01-08 14:06:55,2019-01-08 14:07:07,11.312s,FAILED
pk_Functions.CS_Login.LoginFun,Chrome 71.0.3578.98,,2019-01-08 14:06:55,2019-01-08 14:07:04,8.597s,PASSED
click,Chrome 71.0.3578.98,,2019-01-08 14:07:04,2019-01-08 14:07:06,2.090s,PASSED
pk_Functions.CS_TextLov.TextLovFun,Chrome 71.0.3578.98,,2019-01-08 14:07:06,2019-01-08 14:07:07,0.600s,FAILED
